FEN,Evaluation,eval,
8/1bk2ppp/p3p3/P1r5/Rp6/1P1BP2P/2P3P1/6K1 w - - 3 32,98,0.392,
8/1bk2ppp/p3p3/P1r5/Rp6/1P1BP2P/2P2KP1/8 b - - 4 32,8,0.032,
8/1bk2p1p/p3p1p1/P1r5/Rp6/1P1BP2P/2P2KP1/8 w - - 0 33,79,0.316,
8/1bk2p1p/p3p1p1/P1r5/Rp4P1/1P1BP2P/2P2K2/8 b - - 0 33,51,0.204,
8/2k2p1p/p1b1p1p1/P1r5/Rp4P1/1P1BP2P/2P2K2/8 w - - 1 34,48,0.192,
8/2k2p1p/p1b1p1p1/P1r5/1R4P1/1P1BP2P/2P2K2/8 b - - 0 34,35,0.14,
8/2k2p1p/p1b1p1p1/r7/1R4P1/1P1BP2P/2P2K2/8 w - - 0 35,41,0.164,
8/2k2p1p/p1b1p1p1/r7/5RP1/1P1BP2P/2P2K2/8 b - - 1 35,13,0.052,
8/2k4p/p1b1p1p1/r4p2/5RP1/1P1BP2P/2P2K2/8 w - - 0 36,85,0.34,
8/2k4p/p1b1p1p1/r4pP1/5R2/1P1BP2P/2P2K2/8 b - - 0 36,58,0.232,
8/2k4p/p1b1p1p1/3r1pP1/5R2/1P1BP2P/2P2K2/8 w - - 1 37,76,0.304,
8/2k4p/p1b1p1p1/3r1pP1/7R/1P1BP2P/2P2K2/8 b - - 2 37,61,0.244,
8/2kr3p/p1b1p1p1/5pP1/7R/1P1BP2P/2P2K2/8 w - - 3 38,12,0.048,
8/2kr3p/B1b1p1p1/5pP1/7R/1P2P2P/2P2K2/8 b - - 0 38,13,0.052,
8/2k4p/B1b1p1p1/5pP1/7R/1P2P2P/2Pr1K2/8 w - - 1 39,50,0.2,
8/2k4p/B1b1p1p1/5pP1/7R/1P2P2P/2Pr4/4K3 b - - 2 39,28,0.112,
8/2k4p/B1b1p1p1/5pP1/7R/1P2P2P/2r5/4K3 w - - 0 40,7,0.028,
8/2k4R/B1b1p1p1/5pP1/8/1P2P2P/2r5/4K3 b - - 0 40,12,0.048,
8/7R/B1bkp1p1/5pP1/8/1P2P2P/2r5/4K3 w - - 1 41,13,0.052,
8/7R/2bkp1p1/5pP1/2B5/1P2P2P/2r5/4K3 b - - 2 41,0,0,
8/7R/3kp1p1/3b1pP1/2B5/1P2P2P/2r5/4K3 w - - 3 42,63,0.252,
8/6R1/3kp1p1/3b1pP1/2B5/1P2P2P/2r5/4K3 b - - 4 42,0,0,
8/6R1/3kp1p1/3b1pP1/2B5/1P2P2P/7r/4K3 w - - 5 43,13,0.052,
8/8/3kp1R1/3b1pP1/2B5/1P2P2P/7r/4K3 b - - 0 43,0,0,
8/8/3kp1R1/3b1pP1/2B5/1P2P2r/8/4K3 w - - 0 44,25,0.1,
8/8/3kp1R1/3b1pP1/2B5/1P2P2r/3K4/8 b - - 1 44,4,0.016,
8/8/3kp1R1/3b1pP1/2B5/1P2P1r1/3K4/8 w - - 2 45,14,0.056,
6R1/8/3kp3/3b1pP1/2B5/1P2P1r1/3K4/8 b - - 3 45,13,0.052,
6R1/8/3kp3/5pP1/2b5/1P2P1r1/3K4/8 w - - 0 46,123,0.492,
6R1/8/3kp3/5pP1/2P5/4P1r1/3K4/8 b - - 0 46,105,0.42,
6R1/8/4p3/2k2pP1/2P5/4P1r1/3K4/8 w - - 1 47,350,1.4,
6R1/8/4p1P1/2k2p2/2P5/4P1r1/3K4/8 b - - 0 47,373,1.492,
6R1/8/3kp1P1/5p2/2P5/4P1r1/3K4/8 w - - 1 48,888,3.552,
6R1/8/3kp1P1/2P2p2/8/4P1r1/3K4/8 b - - 0 48,1863,7.452,
6R1/2k5/4p1P1/2P2p2/8/4P1r1/3K4/8 w - - 1 49,1276,5.104,
6R1/2k3P1/4p3/2P2p2/8/4P1r1/3K4/8 b - - 0 49,3113,12.452,
6R1/1k4P1/4p3/2P2p2/8/4P1r1/3K4/8 w - - 1 50,1088,4.352,
6R1/1k4P1/2P1p3/5p2/8/4P1r1/3K4/8 b - - 0 50,4796,19.184,
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,75,0.3,
rnbqkbnr/pp1ppppp/2p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,25,0.1,
rnbqkbnr/pp2pppp/2p5/3p4/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3,60,0.24,
rnbqkbnr/pp2pppp/2p5/3P4/2P5/8/PP1P1PPP/RNBQKBNR b KQkq - 0 3,14,0.056,
rnbqkbnr/pp2pppp/8/3p4/2P5/8/PP1P1PPP/RNBQKBNR w KQkq - 0 4,39,0.156,
rnbqkbnr/pp2pppp/8/3P4/8/8/PP1P1PPP/RNBQKBNR b KQkq - 0 4,-10,-0.04,
rnbqkb1r/pp2pppp/5n2/3P4/8/8/PP1P1PPP/RNBQKBNR w KQkq - 1 5,38,0.152,
rnbqkb1r/pp2pppp/5n2/3P4/8/2N5/PP1P1PPP/R1BQKBNR b KQkq - 2 5,-7,-0.028,
rnbqkb1r/pp2pp1p/5np1/3P4/8/2N5/PP1P1PPP/R1BQKBNR w KQkq - 0 6,118,0.472,
rnbqkb1r/pp2pp1p/5np1/3P4/2B5/2N5/PP1P1PPP/R1BQK1NR b KQkq - 1 6,31,0.124,
rnbqk2r/pp2ppbp/5np1/3P4/2B5/2N5/PP1P1PPP/R1BQK1NR w KQkq - 2 7,93,0.372,
rnbqk2r/pp2ppbp/5np1/3P4/2B5/2N2N2/PP1P1PPP/R1BQK2R b KQkq - 3 7,35,0.14,
rnbq1rk1/pp2ppbp/5np1/3P4/2B5/2N2N2/PP1P1PPP/R1BQK2R w KQ - 4 8,83,0.332,
rnbq1rk1/pp2ppbp/5np1/3P4/2B5/2N2N2/PP1P1PPP/R1BQ1RK1 b - - 5 8,92,0.368,
r1bq1rk1/pp1nppbp/5np1/3P4/2B5/2N2N2/PP1P1PPP/R1BQ1RK1 w - - 6 9,134,0.536,
r1bq1rk1/pp1nppbp/5np1/3P4/2B5/2NP1N2/PP3PPP/R1BQ1RK1 b - - 0 9,124,0.496,
r1bq1rk1/pp2ppbp/1n3np1/3P4/2B5/2NP1N2/PP3PPP/R1BQ1RK1 w - - 1 10,165,0.66,
r1bq1rk1/pp2ppbp/1n3np1/3P4/2B5/1QNP1N2/PP3PPP/R1B2RK1 b - - 2 10,101,0.404,
r2q1rk1/pp2ppbp/1n3np1/3P1b2/2B5/1QNP1N2/PP3PPP/R1B2RK1 w - - 3 11,141,0.564,
r2q1rk1/pp2ppbp/1n3np1/3P1b2/2B5/1QNP1N2/PP3PPP/R1B1R1K1 b - - 4 11,76,0.304,
r2q1rk1/pp2ppb1/1n3npp/3P1b2/2B5/1QNP1N2/PP3PPP/R1B1R1K1 w - - 0 12,183,0.732,
r2q1rk1/pp2ppb1/1n3npp/3P1b2/P1B5/1QNP1N2/1P3PPP/R1B1R1K1 b - - 0 12,138,0.552,
r2q1rk1/pp1nppb1/1n4pp/3P1b2/P1B5/1QNP1N2/1P3PPP/R1B1R1K1 w - - 1 13,148,0.592,
r2q1rk1/pp1nppb1/1n4pp/3P1b2/P1B5/1QNPBN2/1P3PPP/R3R1K1 b - - 2 13,99,0.396,
r2q1rk1/1p1nppb1/1n4pp/p2P1b2/P1B5/1QNPBN2/1P3PPP/R3R1K1 w - - 0 14,250,1,
r2q1rk1/1p1nppb1/1n4pp/p2P1b2/P1BN4/1QNPB3/1P3PPP/R3R1K1 b - - 1 14,196,0.784,
r2q1rk1/1p1nppb1/6pp/p2P1b2/P1nN4/1QNPB3/1P3PPP/R3R1K1 w - - 0 15,266,1.064,
r2q1rk1/1p1nppb1/6pp/p2P1b2/P1PN4/1QN1B3/1P3PPP/R3R1K1 b - - 0 15,294,1.176,
r2q1rk1/1p2ppb1/6pp/p1nP1b2/P1PN4/1QN1B3/1P3PPP/R3R1K1 w - - 1 16,332,1.328,
r2q1rk1/1p2ppb1/6pp/p1nP1b2/P1PN4/Q1N1B3/1P3PPP/R3R1K1 b - - 2 16,199,0.796,
r2q1rk1/1p2ppb1/6pp/p2P1b2/P1PN4/Q1NnB3/1P3PPP/R3R1K1 w - - 3 17,233,0.932,
r2q1rk1/1p2ppb1/6pp/p2P1N2/P1P5/Q1NnB3/1P3PPP/R3R1K1 b - - 0 17,187,0.748,
r2q1rk1/1p2ppb1/7p/p2P1p2/P1P5/Q1NnB3/1P3PPP/R3R1K1 w - - 0 18,236,0.944,
r2q1rk1/1p2ppb1/7p/p2P1p2/P1P5/Q1NnB3/1P3PPP/R2R2K1 b - - 1 18,198,0.792,
r2q1rk1/1p2ppb1/7p/p2Pnp2/P1P5/Q1N1B3/1P3PPP/R2R2K1 w - - 2 19,262,1.048,
r2q1rk1/1p2ppb1/7p/p2Pnp2/P1P5/QPN1B3/5PPP/R2R2K1 b - - 0 19,148,0.592,
r2q1rk1/1p2ppb1/7p/p2P1p2/P1P3n1/QPN1B3/5PPP/R2R2K1 w - - 1 20,170,0.68,
r2q1rk1/1p2ppb1/7p/p2P1p2/P1P3n1/1PN1B3/5PPP/R1QR2K1 b - - 2 20,127,0.508,
r2q1rk1/1p2ppb1/7p/p2P4/P1P2pn1/1PN1B3/5PPP/R1QR2K1 w - - 0 21,227,0.908,
r2q1rk1/1p2ppb1/7p/p2P4/P1PB1pn1/1PN5/5PPP/R1QR2K1 b - - 1 21,178,0.712,
r2q1rk1/1p2pp2/7p/p2P4/P1Pb1pn1/1PN5/5PPP/R1QR2K1 w - - 0 22,227,0.908,
r2q1rk1/1p2pp2/7p/p2P4/P1PR1pn1/1PN5/5PPP/R1Q3K1 b - - 0 22,220,0.88,
