FEN,Evaluation,eval,
4r1k1/1p6/3P3p/Q4pq1/P1P2p2/1P2rP2/3R2P1/R5K1 w - - 1 34,779,3.116,
4r1k1/1p6/3P3p/Q4pq1/P1P2p2/1P2rP2/5RP1/R5K1 b - - 2 34,463,1.852,
4r1k1/1p6/3P1q1p/Q4p2/P1P2p2/1P2rP2/5RP1/R5K1 w - - 3 35,516,2.064,
4r1k1/1p6/3P1q1p/Q4p2/P1P2p2/1P2rP2/5RP1/3R2K1 b - - 4 35,500,2,
4r1k1/1p6/3P1q1p/Q3rp2/P1P2p2/1P3P2/5RP1/3R2K1 w - - 5 36,768,3.072,
4r1k1/1p1P4/5q1p/Q3rp2/P1P2p2/1P3P2/5RP1/3R2K1 b - - 0 36,673,2.692,
rnbqkb1r/pp2pppp/8/3n4/8/2N5/PP1P1PPP/R1BQKBNR w KQkq - 0 6,41,0.164,
rnbqkb1r/pp2pppp/8/3n4/3P4/2N5/PP3PPP/R1BQKBNR b KQkq - 0 6,-27,-0.108,
r1bqkb1r/pp2pppp/2n5/3n4/3P4/2N5/PP3PPP/R1BQKBNR w KQkq - 1 7,20,0.08,
r1bqkb1r/pp2pppp/2n5/3n4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq - 2 7,-23,-0.092,
r1bqkb1r/pp3ppp/2n1p3/3n4/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 8,60,0.24,
r1bqkb1r/pp3ppp/2n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQK2R b KQkq - 1 8,-21,-0.084,
r1bqk2r/pp2bppp/2n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQK2R w KQkq - 2 9,54,0.216,
r1bqk2r/pp2bppp/2n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b kq - 3 9,-48,-0.192,
r1bq1rk1/pp2bppp/2n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 w - - 4 10,18,0.072,
r1bq1rk1/pp2bppp/2n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQR1K1 b - - 5 10,-13,-0.052,
r1bq1rk1/pp3ppp/2n1pb2/3n4/3P4/2NB1N2/PP3PPP/R1BQR1K1 w - - 6 11,42,0.168,
r1bq1rk1/pp3ppp/2n1pb2/3n4/3PB3/2N2N2/PP3PPP/R1BQR1K1 b - - 7 11,6,0.024,
r1bq1rk1/pp2nppp/4pb2/3n4/3PB3/2N2N2/PP3PPP/R1BQR1K1 w - - 8 12,70,0.28,
r1bq1rk1/pp2nppp/4pb2/3n4/3PB3/P1N2N2/1P3PPP/R1BQR1K1 b - - 0 12,-13,-0.052,
1rbq1rk1/pp2nppp/4pb2/3n4/3PB3/P1N2N2/1P3PPP/R1BQR1K1 w - - 1 13,71,0.284,
1rbq1rk1/pp2nppp/4pb2/3n4/3PB2P/P1N2N2/1P3PP1/R1BQR1K1 b - - 0 13,-22,-0.088,
1rbq1rk1/p3nppp/1p2pb2/3n4/3PB2P/P1N2N2/1P3PP1/R1BQR1K1 w - - 0 14,47,0.188,
1rbq1rk1/p3nppp/1p2pb2/3n4/3PB2P/P1NQ1N2/1P3PP1/R1B1R1K1 b - - 1 14,-17,-0.068,
1rbq1rk1/p3np1p/1p2pbp1/3n4/3PB2P/P1NQ1N2/1P3PP1/R1B1R1K1 w - - 0 15,87,0.348,
1rbq1rk1/p3np1p/1p2pbp1/3n3P/3PB3/P1NQ1N2/1P3PP1/R1B1R1K1 b - - 0 15,-34,-0.136,
1r1q1rk1/pb2np1p/1p2pbp1/3n3P/3PB3/P1NQ1N2/1P3PP1/R1B1R1K1 w - - 1 16,41,0.164,
1r1q1rk1/pb2np1p/1p2pbpB/3n3P/3PB3/P1NQ1N2/1P3PP1/R3R1K1 b - - 2 16,-17,-0.068,
1r1qr1k1/pb2np1p/1p2pbpB/3n3P/3PB3/P1NQ1N2/1P3PP1/R3R1K1 w - - 3 17,27,0.108,
1r1qr1k1/pb2np1p/1p2pbpB/3n3P/3PB3/P1NQ1N2/1P3PP1/2R1R1K1 b - - 4 17,0,0,
1r1qr1k1/pb2np1p/1p2pbpB/7P/3PB3/P1nQ1N2/1P3PP1/2R1R1K1 w - - 0 18,51,0.204,
1r1qr1k1/pb2np1p/1p2pbpB/7P/3PB3/P1PQ1N2/5PP1/2R1R1K1 b - - 0 18,-19,-0.076,
1r1qr1k1/p3np1p/1p2pbpB/7P/3Pb3/P1PQ1N2/5PP1/2R1R1K1 w - - 0 19,23,0.092,
1r1qr1k1/p3np1p/1p2pbpB/7P/3PR3/P1PQ1N2/5PP1/2R3K1 b - - 0 19,0,0,
1r1qr1k1/p4p1p/1p2pbpB/5n1P/3PR3/P1PQ1N2/5PP1/2R3K1 w - - 1 20,17,0.068,
1r1qr1k1/p4p1p/1p2pbp1/5n1P/3PRB2/P1PQ1N2/5PP1/2R3K1 b - - 2 20,0,0,
2rqr1k1/p4p1p/1p2pbp1/5n1P/3PRB2/P1PQ1N2/5PP1/2R3K1 w - - 3 21,13,0.052,
2rqr1k1/p4p1p/1p2pbP1/5n2/3PRB2/P1PQ1N2/5PP1/2R3K1 b - - 0 21,-23,-0.092,
2rqr1k1/p4p2/1p2pbp1/5n2/3PRB2/P1PQ1N2/5PP1/2R3K1 w - - 0 22,6,0.024,
2rqr1k1/p4p2/1p2pbp1/4Bn2/3PR3/P1PQ1N2/5PP1/2R3K1 b - - 1 22,-100,-0.4,
2rqr1k1/p4p2/1p2p1p1/4bn2/3PR3/P1PQ1N2/5PP1/2R3K1 w - - 0 23,-26,-0.104,
2rqr1k1/p4p2/1p2p1p1/4Nn2/3PR3/P1PQ4/5PP1/2R3K1 b - - 0 23,-93,-0.372,
2r1r1k1/p4p2/1p2p1p1/4Nnq1/3PR3/P1PQ4/5PP1/2R3K1 w - - 1 24,-39,-0.156,
2r1r1k1/p4p2/1p2p1p1/4Nnq1/3PR3/P1PQ4/5PP1/3R2K1 b - - 2 24,-117,-0.468,
2r1r3/p4pk1/1p2p1p1/4Nnq1/3PR3/P1PQ4/5PP1/3R2K1 w - - 3 25,-57,-0.228,
2r1r3/p4pk1/1p2p1p1/4Nnq1/3PR3/P1P2Q2/5PP1/3R2K1 b - - 4 25,-124,-0.496,
2r4r/p4pk1/1p2p1p1/4Nnq1/3PR3/P1P2Q2/5PP1/3R2K1 w - - 5 26,-78,-0.312,
2r4r/p4pk1/1p2p1p1/4Nnq1/3P2R1/P1P2Q2/5PP1/3R2K1 b - - 6 26,-172,-0.688,
2r4r/p4pk1/1p2p1p1/4Nn1q/3P2R1/P1P2Q2/5PP1/3R2K1 w - - 7 27,-167,-0.668,
2r4r/p4pk1/1p2p1p1/4Nn1q/3P2R1/P1P2Q2/5PP1/3R1K2 b - - 8 27,-201,-0.804,
2r4r/p4pk1/1p2p1pn/4N2q/3P2R1/P1P2Q2/5PP1/3R1K2 w - - 9 28,0,0,
2r4r/p4pk1/1p2p1pn/4N2q/3P1R2/P1P2Q2/5PP1/3R1K2 b - - 10 28,-158,-0.632,
2r4r/p4pk1/1p2p1pn/4N3/3P1R2/P1P2q2/5PP1/3R1K2 w - - 0 29,-140,-0.56,
2r4r/p4pk1/1p2p1pn/4N3/3P4/P1P2R2/5PP1/3R1K2 b - - 0 29,-164,-0.656,
2rr4/p4pk1/1p2p1pn/4N3/3P4/P1P2R2/5PP1/3R1K2 w - - 1 30,-13,-0.052,
2rr4/p4pk1/1p2p1pn/4N3/3P4/P1PR4/5PP1/3R1K2 b - - 2 30,-92,-0.368,
2rr4/p5k1/1p2pppn/4N3/3P4/P1PR4/5PP1/3R1K2 w - - 0 31,-31,-0.124,
2rr4/p5k1/1p2pppn/8/3P4/P1PR1N2/5PP1/3R1K2 b - - 1 31,-72,-0.288,
2r5/p5k1/1p2pppn/3r4/3P4/P1PR1N2/5PP1/3R1K2 w - - 2 32,-18,-0.072,
2r5/p5k1/1p2pppn/3r4/3P4/P1PR1N2/5PP1/2R2K2 b - - 3 32,-71,-0.284,
2r5/p5k1/1p2ppp1/3r1n2/3P4/P1PR1N2/5PP1/2R2K2 w - - 4 33,-52,-0.208,
2r5/p5k1/1p2ppp1/3r1n2/3P4/P1PR1N2/4KPP1/2R5 b - - 5 33,-131,-0.524,
2r5/p5k1/1p1nppp1/3r4/3P4/P1PR1N2/4KPP1/2R5 w - - 6 34,-28,-0.112,
2r5/p5k1/1p1nppp1/3r4/3P4/P1PR4/3NKPP1/2R5 b - - 7 34,-63,-0.252,
2r5/p5k1/1p2ppp1/1n1r4/3P4/P1PR4/3NKPP1/2R5 w - - 8 35,-22,-0.088,
2r5/p5k1/1p2ppp1/1n1r4/3P4/P1PR4/3N1PP1/2RK4 b - - 9 35,-67,-0.268,
2r5/p5k1/1p3pp1/1n1rp3/3P4/P1PR4/3N1PP1/2RK4 w - - 0 36,-49,-0.196,
2r5/p5k1/1p3pp1/1n1rp3/P2P4/2PR4/3N1PP1/2RK4 b - - 0 36,-109,-0.436,
2r5/p5k1/1p1n1pp1/3rp3/P2P4/2PR4/3N1PP1/2RK4 w - - 1 37,-59,-0.236,
2r5/p5k1/1p1n1pp1/3rp3/P2P4/2PR4/3N1PP1/1R1K4 b - - 2 37,-131,-0.524,
2r5/p5k1/1p1n1pp1/3r4/P2Pp3/2PR4/3N1PP1/1R1K4 w - - 0 38,-18,-0.072,
2r5/p5k1/1p1n1pp1/3r4/P2Pp3/2P1R3/3N1PP1/1R1K4 b - - 1 38,-48,-0.192,
2r5/p5k1/1p1n2p1/3r1p2/P2Pp3/2P1R3/3N1PP1/1R1K4 w - - 0 39,-15,-0.06,
2r5/p5k1/1p1n2p1/3r1p2/P2Pp3/2P1R1P1/3N1P2/1R1K4 b - - 0 39,-52,-0.208,
2r5/p5k1/1p1n4/3r1pp1/P2Pp3/2P1R1P1/3N1P2/1R1K4 w - - 0 40,-64,-0.256,
2r5/p5k1/1p1n4/3r1pp1/PR1Pp3/2P1R1P1/3N1P2/3K4 b - - 1 40,-59,-0.236,
2r5/p7/1p1n2k1/3r1pp1/PR1Pp3/2P1R1P1/3N1P2/3K4 w - - 2 41,-59,-0.236,
2r5/p7/1p1n2k1/3r1pp1/PR1Pp3/2P1R1P1/2KN1P2/8 b - - 3 41,-61,-0.244,
8/p7/1prn2k1/3r1pp1/PR1Pp3/2P1R1P1/2KN1P2/8 w - - 4 42,-35,-0.14,
8/p7/1prn2k1/3r1pp1/PR1Pp3/2P3P1/2KN1P2/4R3 b - - 5 42,-326,-1.304,
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,34,0.136,
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-17,-0.068,
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,55,0.22,
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-5,-0.02,
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,59,0.236,
rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,4,0.016,
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,49,0.196,
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,-7,-0.028,
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,45,0.18,
rnbqkb1r/1p2pppp/p2p1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq - 1 6,0,0,
rnbqkb1r/1p3ppp/p2ppn2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq - 0 7,38,0.152,
rnbqkb1r/1p3ppp/p2ppn2/6B1/3NPP2/2N5/PPP3PP/R2QKB1R b KQkq - 0 7,-35,-0.14,
rnbqk2r/1p2bppp/p2ppn2/6B1/3NPP2/2N5/PPP3PP/R2QKB1R w KQkq - 1 8,81,0.324,
rnbqk2r/1p2bppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R b KQkq - 2 8,0,0,
rnb1k2r/1pq1bppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R w KQkq - 3 9,31,0.124,
rnb1k2r/1pq1bppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R b kq - 4 9,3,0.012,
r1b1k2r/1pqnbppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R w kq - 5 10,46,0.184,
r1b1k2r/1pqnbppp/p2ppn2/6B1/3NPP2/2NB1Q2/PPP3PP/2KR3R b kq - 6 10,0,0,
r1b1k2r/2qnbppp/p2ppn2/1p4B1/3NPP2/2NB1Q2/PPP3PP/2KR3R w kq - 0 11,32,0.128,
r1b1k2r/2qnbppp/p2ppn2/1p4B1/3NPP2/2NB1Q2/PPP3PP/2KRR3 b kq - 1 11,-4,-0.016,
r3k2r/1bqnbppp/p2ppn2/1p4B1/3NPP2/2NB1Q2/PPP3PP/2KRR3 w kq - 2 12,98,0.392,
r3k2r/1bqnbppp/p2ppn2/1p4B1/3NPP2/2NB2Q1/PPP3PP/2KRR3 b kq - 3 12,36,0.144,
r3k2r/1bqnbppp/p2ppn2/6B1/1p1NPP2/2NB2Q1/PPP3PP/2KRR3 w kq - 0 13,134,0.536,
r3k2r/1bqnbppp/p2ppn2/3N2B1/1p1NPP2/3B2Q1/PPP3PP/2KRR3 b kq - 1 13,-28,-0.112,
r3k2r/1bqnbppp/p2p1n2/3p2B1/1p1NPP2/3B2Q1/PPP3PP/2KRR3 w kq - 0 14,36,0.144,
r3k2r/1bqnbppp/p2p1n2/3pP1B1/1p1N1P2/3B2Q1/PPP3PP/2KRR3 b kq - 0 14,-46,-0.184,
r3k2r/1bqnbppp/p4n2/3pp1B1/1p1N1P2/3B2Q1/PPP3PP/2KRR3 w kq - 0 15,-52,-0.208,
r3k2r/1bqnbppp/p4n2/3pP1B1/1p1N4/3B2Q1/PPP3PP/2KRR3 b kq - 0 15,-45,-0.18,
2kr3r/1bqnbppp/p4n2/3pP1B1/1p1N4/3B2Q1/PPP3PP/2KRR3 w - - 1 16,45,0.18,
2kr3r/1bqnbppp/p4n2/3pPNB1/1p6/3B2Q1/PPP3PP/2KRR3 b - - 2 16,11,0.044,
2kr3r/1bqn1ppp/p4n2/2bpPNB1/1p6/3B2Q1/PPP3PP/2KRR3 w - - 3 17,48,0.192,
2kr3r/1bqn1ppp/p4P2/2bp1NB1/1p6/3B2Q1/PPP3PP/2KRR3 b - - 0 17,38,0.152,
2kr3r/1b1n1ppp/p4P2/2bp1NB1/1p6/3B2q1/PPP3PP/2KRR3 w - - 0 18,41,0.164,
2kr3r/1b1n1ppp/p4P2/2bp1NB1/1p6/3B2P1/PPP3P1/2KRR3 b - - 0 18,0,0,
2kr3r/1b1n1p1p/p4p2/2bp1NB1/1p6/3B2P1/PPP3P1/2KRR3 w - - 0 19,39,0.156,
2kr3r/1b1n1p1p/p4p2/2bp1N2/1p3B2/3B2P1/PPP3P1/2KRR3 b - - 1 19,0,0,
2kr3r/1b3p1p/p4p2/2bpnN2/1p3B2/3B2P1/PPP3P1/2KRR3 w - - 2 20,64,0.256,
2kr3r/1b3p1p/p4p2/2bpBN2/1p6/3B2P1/PPP3P1/2KRR3 b - - 0 20,9,0.036,
2kr3r/1b3p1p/p7/2bppN2/1p6/3B2P1/PPP3P1/2KRR3 w - - 0 21,47,0.188,
2kr3r/1b3p1p/p7/2bpRN2/1p6/3B2P1/PPP3P1/2KR4 b - - 0 21,0,0,
2k1r2r/1b3p1p/p7/2bpRN2/1p6/3B2P1/PPP3P1/2KR4 w - - 1 22,77,0.308,
2k1R2r/1b3p1p/p7/2bp1N2/1p6/3B2P1/PPP3P1/2KR4 b - - 0 22,29,0.116,
2k1r3/1b3p1p/p7/2bp1N2/1p6/3B2P1/PPP3P1/2KR4 w - - 0 23,64,0.256,
2k1r3/1b3p1p/p7/2bp1N2/1p6/3B2P1/PPP3P1/2K4R b - - 1 23,15,0.06,
2k4r/1b3p1p/p7/2bp1N2/1p6/3B2P1/PPP3P1/2K4R w - - 2 24,45,0.18,
2k4r/1b3p1p/p6R/2bp1N2/1p6/3B2P1/PPP3P1/2K5 b - - 3 24,51,0.204,
2k4r/1b3p1p/7R/p1bp1N2/1p6/3B2P1/PPP3P1/2K5 w - - 0 25,76,0.304,
2k4r/1b3p1p/7R/p1bp1N2/1p6/3B2P1/PPPK2P1/8 b - - 1 25,43,0.172,
1k5r/1b3p1p/7R/p1bp1N2/1p6/3B2P1/PPPK2P1/8 w - - 2 26,75,0.3,
1k5r/1b3p1p/5R2/p1bp1N2/1p6/3B2P1/PPPK2P1/8 b - - 3 26,44,0.176,
1k3r2/1b3p1p/5R2/p1bp1N2/1p6/3B2P1/PPPK2P1/8 w - - 4 27,84,0.336,
1k3r2/1b3p1p/7R/p1bp1N2/1p6/3B2P1/PPPK2P1/8 b - - 5 27,13,0.052,
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,61,0.244,
r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-25,-0.1,
r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,12,0.048,
r1bqkbnr/pp1ppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,-28,-0.112,
r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,-5,-0.02,
r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,0,0,
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,73,0.292,
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 1 6,-15,-0.06,
r1bqkb1r/pp2pppp/2np4/8/3NP1n1/2N1B3/PPP2PPP/R2QKB1R w KQkq - 2 7,79,0.316,
r1bqkb1r/pp2pppp/2np4/6B1/3NP1n1/2N5/PPP2PPP/R2QKB1R b KQkq - 3 7,-56,-0.224,
r1b1kb1r/pp2pppp/1qnp4/6B1/3NP1n1/2N5/PPP2PPP/R2QKB1R w KQkq - 4 8,69,0.276,
r1b1kb1r/pp2pppp/1qnp4/1B4B1/3NP1n1/2N5/PPP2PPP/R2QK2R b KQkq - 5 8,4,0.016,
r3kb1r/pp1bpppp/1qnp4/1B4B1/3NP1n1/2N5/PPP2PPP/R2QK2R w KQkq - 6 9,84,0.336,
r3kb1r/pp1bpppp/1qnp4/1B4B1/3NP1n1/2N5/PPP2PPP/R2Q1RK1 b kq - 7 9,12,0.048,
r3kb1r/pp1bpppp/2np4/1B4B1/3qP1n1/2N5/PPP2PPP/R2Q1RK1 w kq - 0 10,78,0.312,
r3kb1r/pp1bpppp/2Bp4/6B1/3qP1n1/2N5/PPP2PPP/R2Q1RK1 b kq - 0 10,17,0.068,
r3kb1r/pp1bpppp/2Bp4/6B1/4P1n1/2N5/PPP2PPP/R2q1RK1 w kq - 0 11,69,0.276,
r3kb1r/pp1Bpppp/3p4/6B1/4P1n1/2N5/PPP2PPP/R2q1RK1 b kq - 0 11,15,0.06,
r4b1r/pp1kpppp/3p4/6B1/4P1n1/2N5/PPP2PPP/R2q1RK1 w - - 0 12,22,0.088,
r4b1r/pp1kpppp/3p4/6B1/4P1n1/2N5/PPP2PPP/3R1RK1 b - - 0 12,6,0.024,
r4b1r/pp1kpp1p/3p2p1/6B1/4P1n1/2N5/PPP2PPP/3R1RK1 w - - 0 13,99,0.396,
r4b1r/pp1kpp1p/3p2p1/6B1/4P1n1/2N4P/PPP2PP1/3R1RK1 b - - 0 13,49,0.196,
r4b1r/pp1kpp1p/3p2p1/4n1B1/4P3/2N4P/PPP2PP1/3R1RK1 w - - 1 14,90,0.36,
r4b1r/pp1kpp1p/3p2p1/3Nn1B1/4P3/7P/PPP2PP1/3R1RK1 b - - 2 14,17,0.068,
r4b1r/pp1kpp1p/2np2p1/3N2B1/4P3/7P/PPP2PP1/3R1RK1 w - - 3 15,105,0.42,
r4b1r/pp1kpp1p/2np2p1/3N2B1/1P2P3/7P/P1P2PP1/3R1RK1 b - - 0 15,20,0.08,
r4b1r/pp1kpp2/2np2pp/3N2B1/1P2P3/7P/P1P2PP1/3R1RK1 w - - 0 16,54,0.216,
r4b1r/pp1kpp2/2np2pp/3N4/1P2P2B/7P/P1P2PP1/3R1RK1 b - - 1 16,16,0.064,
r4b1r/pp1kp3/2np2pp/3N1p2/1P2P2B/7P/P1P2PP1/3R1RK1 w - - 0 17,187,0.748,
r4b1r/pp1kp3/2np2pp/3N1p2/1P2PP1B/7P/P1P3P1/3R1RK1 b - - 0 17,152,0.608,
r4br1/pp1kp3/2np2pp/3N1p2/1P2PP1B/7P/P1P3P1/3R1RK1 w - - 1 18,188,0.752,
r4br1/pp1kp3/2np2pp/1P1N1p2/4PP1B/7P/P1P3P1/3R1RK1 b - - 0 18,218,0.872,
r4br1/pp1kp3/3p2pp/nP1N1p2/4PP1B/7P/P1P3P1/3R1RK1 w - - 1 19,194,0.776,
r4br1/pp1kp3/3p2pp/nP1NPp2/5P1B/7P/P1P3P1/3R1RK1 b - - 0 19,113,0.452,
r4br1/pp1kp3/3p2pp/1P1NPp2/2n2P1B/7P/P1P3P1/3R1RK1 w - - 1 20,194,0.776,
r4br1/pp1kp3/3p2pp/1P1NPp2/2nR1P1B/7P/P1P3P1/5RK1 b - - 2 20,62,0.248,
2r2br1/pp1kp3/3p2pp/1P1NPp2/2nR1P1B/7P/P1P3P1/5RK1 w - - 3 21,198,0.792,
2r2br1/pp1kp3/3pP1pp/1P1N1p2/2nR1P1B/7P/P1P3P1/5RK1 b - - 0 21,169,0.676,
2r1kbr1/pp2p3/3pP1pp/1P1N1p2/2nR1P1B/7P/P1P3P1/5RK1 w - - 1 22,204,0.816,
2r1kbr1/pp2p3/1P1pP1pp/3N1p2/2nR1P1B/7P/P1P3P1/5RK1 b - - 0 22,-100,-0.4,
2r1kbr1/1p2p3/1p1pP1pp/3N1p2/2nR1P1B/7P/P1P3P1/5RK1 w - - 0 23,23,0.092,
2r1kbr1/1p2p3/1p1pP1pp/3N1p2/2nR1P1B/7P/P1P3P1/1R4K1 b - - 1 23,-2,-0.008,
2r1kbr1/1p2p3/1p1pP2p/3N1pp1/2nR1P1B/7P/P1P3P1/1R4K1 w - - 0 24,23,0.092,
2r1kbr1/1p2p3/1p1pP2p/3N1pp1/1RnR1P1B/7P/P1P3P1/6K1 b - - 1 24,0,0,
2r1kbr1/1p2p3/3pP2p/1p1N1pp1/1RnR1P1B/7P/P1P3P1/6K1 w - - 0 25,30,0.12,
2r1kbr1/1p2p3/3pP2p/1R1N1pp1/2nR1P1B/7P/P1P3P1/6K1 b - - 0 25,13,0.052,
2r1k1r1/1p2p1b1/3pP2p/1R1N1pp1/2nR1P1B/7P/P1P3P1/6K1 w - - 1 26,84,0.336,
2r1k1r1/1p2p1b1/3pP2p/1R1N1pp1/2R2P1B/7P/P1P3P1/6K1 b - - 0 26,83,0.332,
4k1r1/1p2p1b1/3pP2p/1R1N1pp1/2r2P1B/7P/P1P3P1/6K1 w - - 0 27,101,0.404,
4k1r1/1R2p1b1/3pP2p/3N1pp1/2r2P1B/7P/P1P3P1/6K1 b - - 0 27,83,0.332,
4k1r1/1R2p3/3pP2p/3N1pp1/2rb1P1B/7P/P1P3P1/6K1 w - - 1 28,125,0.5,
4k1r1/1R2p3/3pP2p/3N1pp1/2rb1P2/7P/P1P2BP1/6K1 b - - 2 28,85,0.34,
4k1r1/1R2p3/3pP2p/3N1pp1/2r2P2/7P/P1P2bP1/6K1 w - - 0 29,99,0.396,
4k1r1/1R2p3/3pP2p/3N1pp1/2r2P2/7P/P1P2KP1/8 b - - 0 29,72,0.288,
5kr1/1R2p3/3pP2p/3N1pp1/2r2P2/7P/P1P2KP1/8 w - - 1 30,135,0.54,
5kr1/4R3/3pP2p/3N1pp1/2r2P2/7P/P1P2KP1/8 b - - 0 30,94,0.376,
5k2/4R1r1/3pP2p/3N1pp1/2r2P2/7P/P1P2KP1/8 w - - 1 31,435,1.74,
5k2/3R2r1/3pP2p/3N1pp1/2r2P2/7P/P1P2KP1/8 b - - 2 31,413,1.652,
5k2/3R2r1/3pP2p/3N1pp1/5P2/7P/P1r2KP1/8 w - - 0 32,452,1.808,
5k2/3R2r1/3pP2p/3N1pp1/5P2/5K1P/P1r3P1/8 b - - 1 32,410,1.64,
5k2/3R4/3pP1rp/3N1pp1/5P2/5K1P/P1r3P1/8 w - - 2 33,436,1.744,
3R1k2/8/3pP1rp/3N1pp1/5P2/5K1P/P1r3P1/8 b - - 3 33,425,1.7,
3R4/6k1/3pP1rp/3N1pp1/5P2/5K1P/P1r3P1/8 w - - 4 34,457,1.828,
3R4/4P1k1/3p2rp/3N1pp1/5P2/5K1P/P1r3P1/8 b - - 0 34,446,1.784,
3R4/4P1k1/3p2rp/3N1p2/5Pp1/5K1P/P1r3P1/8 w - - 0 35,1048,4.192,
3R4/4P1k1/3p2rp/3N1p2/5PP1/5K2/P1r3P1/8 b - - 0 35,1028,4.112,
3R4/4P1k1/3p2rp/3N4/5Pp1/5K2/P1r3P1/8 w - - 0 36,1064,4.256,
3R4/4P1k1/3p2rp/3N4/5Pp1/6K1/P1r3P1/8 b - - 1 36,1237,4.948,
rnbqkb1r/pp2pp1p/3p1np1/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,75,0.3,
rnbqkb1r/pp2pp1p/3p1np1/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq - 1 6,-11,-0.044,
rnbqk2r/pp2ppbp/3p1np1/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 2 7,66,0.264,
rnbqk2r/pp2ppbp/3p1np1/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 b kq - 3 7,0,0,
rnbq1rk1/pp2ppbp/3p1np1/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w - - 4 8,51,0.204,
rnbq1rk1/pp2ppbp/3p1np1/6B1/3NP3/2N5/PPP1BPPP/R2Q1RK1 b - - 5 8,-45,-0.18,
r1bq1rk1/pp2ppbp/2np1np1/6B1/3NP3/2N5/PPP1BPPP/R2Q1RK1 w - - 6 9,44,0.176,
r1bq1rk1/pp2ppbp/2np1np1/6B1/4P3/1NN5/PPP1BPPP/R2Q1RK1 b - - 7 9,-30,-0.12,
r1bq1rk1/1p2ppbp/p1np1np1/6B1/4P3/1NN5/PPP1BPPP/R2Q1RK1 w - - 0 10,40,0.16,
r1bq1rk1/1p2ppbp/p1np1np1/6B1/4P3/1NN5/PPP1BPPP/R2Q1R1K b - - 1 10,-52,-0.208,
r1bq1rk1/4ppbp/p1np1np1/1p4B1/4P3/1NN5/PPP1BPPP/R2Q1R1K w - - 0 11,30,0.12,
r1bq1rk1/4ppbp/p1np1np1/1p4B1/4P3/PNN5/1PP1BPPP/R2Q1R1K b - - 0 11,-65,-0.26,
r2q1rk1/1b2ppbp/p1np1np1/1p4B1/4P3/PNN5/1PP1BPPP/R2Q1R1K w - - 1 12,22,0.088,
